788556 - 434871,353685
216233 + 474843,691076
617820 - 232987,384833
828641 - 197203,631438
455472 - 341377,114095
767486 + 102780,870266
695413 + 629180,1324593
759559 - 743677,15882
231626 + 689800,921426
602830 + 837697,1440527
410944 + 530723,941667
171283 + 400479,571762
352648 + 583815,936463
896871 - 308653,588218
627406 - 486011,141395
981589 + 903654,1885243
803120 - 213692,589428
22640 - 21711,929
967628 + 769630,1737258
684316 - 519088,165228
798615 - 251073,547542
130399 + 813227,943626
804923 - 453782,351141
999435 + 575910,1575345
233271 + 883927,1117198
907720 + 302632,1210352
975575 - 828663,146912
944352 - 234961,709391
966715 - 609811,356904
968819 + 497057,1465876
909783 - 72391,837392
547436 - 544711,2725
829148 + 653331,1482479
760381 - 290351,470030
393319 - 42810,350509
908153 - 317157,590996
340362 + 306114,646476
73482 + 925239,998721
748475 + 935701,1684176
535225 - 108107,427118
284944 - 41686,243258
561268 - 146115,415153
371915 - 14160,357755
148864 + 530885,679749
507874 + 669575,1177449
214207 - 77353,136854
591221 + 269412,860633
730869 + 513162,1244031
798318 - 527250,271068
188418 + 558557,746975
36665 + 624433,661098
959667 - 263250,696417
190870 + 194833,385703
980981 - 667980,313001
993728 - 88269,905459
779143 - 45160,733983
45533 + 219387,264920
315899 + 363815,679714
546283 - 529146,17137
914038 - 709762,204276
754720 + 728706,1483426
677108 - 321914,355194
489233 - 221981,267252
27972 + 251438,279410
191956 + 843776,1035732
734730 - 322265,412465
840985 - 829623,11362
196780 + 951047,1147827
304608 - 4263,300345
488112 - 177259,310853
730420 - 625071,105349
595754 + 249451,845205
570450 + 147035,717485
769396 + 573674,1343070
782764 - 32220,750544
927094 - 470670,456424
223956 + 426543,650499
825151 - 130263,694888
298549 - 281236,17313
389135 - 167679,221456
948133 + 752994,1701127
18306 + 559214,577520
335337 + 44681,380018
862770 - 502318,360452
992485 + 292949,1285434
788030 - 465478,322552
270744 + 661861,932605
397199 + 263271,660470
667837 - 453293,214544
414552 + 316139,730691
965044 + 222806,1187850
261391 + 444859,706250
120145 + 442219,562364
165530 + 210210,375740
492328 - 134393,357935
116569 + 70063,186632
743199 - 197025,546174
638936 - 212935,426001
998857 - 85626,913231
761496 - 480521,280975
189214 - 182737,6477
159852 - 116157,43695
650579 + 806894,1457473
712428 - 518192,194236
806421 + 99448,905869
532167 + 841251,1373418
503057 - 435966,67091
568742 - 293957,274785
237370 + 656782,894152
463378 + 293122,756500
549024 - 258177,290847
532443 + 710160,1242603
986264 - 536224,450040
247822 + 694764,942586
47976 + 844836,892812
44093 + 724544,768637
757964 - 131066,626898
804124 - 293347,510777
358473 + 803808,1162281
974710 + 861967,1836677
759579 - 90912,668667
503617 + 592781,1096398
865889 - 536657,329232
817779 - 181808,635971
153257 + 61820,215077
443311 - 239438,203873
338554 - 23076,315478
628513 - 539588,88925
861794 - 766080,95714
394954 - 57520,337434
699649 + 26237,725886
751906 + 52071,803977
683687 - 483451,200236
946421 - 150740,795681
523544 - 242703,280841
904334 + 926245,1830579
344703 - 251873,92830
544580 - 68945,475635
90421 + 690420,780841
645775 - 526063,119712
516313 - 389650,126663
668254 + 46097,714351
464089 + 244663,708752
40785 + 862496,903281
563593 - 315769,247824
914008 + 246043,1160051
369715 + 673608,1043323
248551 + 840344,1088895
440383 + 45414,485797
886906 + 36452,923358
776667 - 528208,248459
746875 + 862435,1609310
791898 - 296241,495657
899961 - 332895,567066
372358 - 247667,124691
122181 + 325500,447681
990850 - 237443,753407
481625 - 247697,233928
979641 - 328137,651504
95201 + 485701,580902
373641 + 833363,1207004
909402 - 791054,118348
999772 - 38722,961050
400661 - 234932,165729
690022 - 129517,560505
730393 - 606906,123487
907824 - 363386,544438
665233 - 661423,3810
911921 + 309250,1221171
432590 + 356194,788784
175955 + 894305,1070260
440808 - 320586,120222
481136 + 241020,722156
411111 + 920830,1331941
885105 - 817707,67398
767549 - 628120,139429
558502 + 732231,1290733
424456 - 357293,67163
551144 + 343111,894255
791258 - 275645,515613
698529 - 459592,238937
727743 + 280840,1008583
764745 + 227833,992578
789750 + 646998,1436748
880218 - 727717,152501
40013 + 564441,604454
825413 - 568540,256873
970368 - 431745,538623
820349 + 997309,1817658
498458 + 668909,1167367
612890 - 405587,207303
683302 - 220328,462974
523813 - 433149,90664
987465 + 362844,1350309
924654 + 447509,1372163
536590 - 450435,86155
527712 + 994666,1522378
785439 - 274515,510924
511591 + 70612,582203
664296 + 570706,1235002
827682 - 451917,375765
9877 + 22818,32695
153484 + 742933,896417
787754 - 58018,729736
312387 - 103731,208656
63014 + 318201,381215
574057 - 169301,404756
664086 - 467530,196556
82843 + 602371,685214
373787 + 210771,584558
495352 + 534669,1030021
678626 + 505232,1183858
981306 + 720306,1701612
77026 + 632587,709613
843712 - 806937,36775
734664 + 382226,1116890
226934 + 353759,580693
538611 + 522878,1061489
691067 - 470927,220140
939478 - 854822,84656
773282 + 662295,1435577
963537 + 716247,1679784
793699 + 524550,1318249
635451 - 339592,295859
403597 + 695385,1098982
135789 + 826682,962471
629573 - 558861,70712
82356 + 584151,666507
777977 - 23351,754626
688038 - 71762,616276
470220 - 255340,214880
927535 + 768665,1696200
982605 - 692580,290025
471569 - 383055,88514
624654 + 904622,1529276
915374 - 215720,699654
425187 - 8289,416898
672966 + 357127,1030093
997934 - 914654,83280
780696 + 13113,793809
562168 + 144058,706226
953227 - 220711,732516
243236 - 5252,237984
352178 + 557230,909408
735545 + 522443,1257988
711369 + 983958,1695327
294037 - 156907,137130
913897 - 558792,355105
997510 - 469977,527533
540802 + 984890,1525692
943727 - 198646,745081
902089 + 218196,1120285
826766 + 558880,1385646
441428 - 422899,18529
397665 + 801929,1199594
443212 - 239589,203623
996944 - 351393,645551
862614 + 830545,1693159
278690 - 112896,165794
274348 - 44533,229815
658988 + 68431,727419
563406 - 363875,199531
