937.0$ at 14.9% for 7 years,2477
73671.0$ at 17.7% for 3 years,120122
66466.0$ at 13.8% for 5 years,126855
300.0$ at 44.7% for 1 years,434
36042.0$ at 26.2% for 5 years,115373
733.0$ at 17.5% for 6 years,1928
95528.0$ at 4.6% for 11 years,156667
1816.0$ at 17.6% for 1 years,2135
59863.0$ at 11.8% for 11 years,204182
27121.0$ at 44.2% for 7 years,351611
64918.0$ at 3.6% for 5 years,77475
93655.0$ at 16.0% for 3 years,146185
88369.0$ at 9.8% for 9 years,204984
63809.0$ at 22.6% for 6 years,216682
849.0$ at 19.2% for 1 years,1012
5818923.0$ at 1.1% for 9 years,6421005
48715.0$ at 29.6% for 6 years,230830
39057.0$ at 2.3% for 1 years,39955
716.0$ at 47.0% for 3 years,2274
19977.0$ at 8.5% for 8 years,38367
0.5$ at 35.0% for 8 years,5
92179.0$ at 30.7% for 4 years,268988
6420012.0$ at 5.3% for 8 years,9704268
15144.0$ at 11.8% for 6 years,29572
733.0$ at 44.2% for 8 years,13703
1885.0$ at 31.2% for 1 years,2473
72993.0$ at 1.4% for 5 years,78247
61121.0$ at 0.3% for 3 years,61672
68718.0$ at 44.7% for 2 years,143882
93.0$ at 21.8% for 1 years,113
76035.0$ at 2.2% for 9 years,92485
94813.0$ at 6.1% for 2 years,106732
9930131.0$ at 9.1% for 6 years,16745706
39553.0$ at 42.2% for 7 years,465025
40182.0$ at 21.5% for 1 years,48821
66466.0$ at 25.1% for 4 years,162790
19848.0$ at 19.8% for 6 years,58675
68718.0$ at 10.6% for 2 years,84058
68101.0$ at 11.8% for 6 years,132985
88708.0$ at 17.6% for 10 years,448782
86866.0$ at 1.6% for 1 years,88255
94813.0$ at 8.2% for 11 years,225614
13418.0$ at 18.7% for 6 years,37531
19193.0$ at 5.5% for 3 years,22537
844.0$ at 16.4% for 9 years,3310
524.0$ at 20.5% for 10 years,3382
56319.0$ at 2.2% for 5 years,62792
3859796.0$ at 0.1% for 9 years,3894673
88708.0$ at 43.2% for 6 years,764928
91991.0$ at 13.3% for 1 years,104225
95478.0$ at 19.7% for 4 years,196010
89749.0$ at 9.9% for 5 years,143885
48715.0$ at 13.5% for 4 years,80843
61121.0$ at 12.1% for 7 years,135965
86866.0$ at 6.0% for 8 years,138451
32981.0$ at 23.2% for 1 years,40632
20980.0$ at 0.4% for 3 years,21232
95478.0$ at 27.3% for 4 years,250736
50420.0$ at 10.9% for 5 years,84578
89749.0$ at 10.2% for 2 years,108991
32379.0$ at 8.8% for 6 years,53707
45627.0$ at 10.8% for 9 years,114836
89749.0$ at 23.8% for 2 years,137553
7662433.0$ at 1.6% for 8 years,8699941
94813.0$ at 11.8% for 2 years,118509
922.0$ at 16.7% for 2 years,1255
81947.0$ at 43.3% for 8 years,1457144
76035.0$ at 31.4% for 8 years,675735
51781.0$ at 3.4% for 10 years,72339
49582.0$ at 14.6% for 2 years,65116
27138.0$ at 12.5% for 9 years,78334
96727.0$ at 21.7% for 9 years,566451
66020.0$ at 15.2% for 3 years,100932
752.0$ at 43.9% for 1 years,1082
47414.0$ at 33.6% for 6 years,269615
937.0$ at 16.8% for 5 years,2036
92125.0$ at 1.2% for 3 years,95481
29212.0$ at 2.6% for 1 years,29971
73671.0$ at 10.3% for 7 years,146327
86866.0$ at 16.2% for 4 years,158370
72456.0$ at 19.6% for 3 years,123956
32379.0$ at 0.2% for 10 years,33032
93448.0$ at 15.9% for 11 years,473683
5231281.0$ at 27.6% for 3 years,10868261
59.0$ at 12.6% for 6 years,120
70.0$ at 12.1% for 1 years,78
93655.0$ at 26.7% for 9 years,787989
13418.0$ at 12.7% for 3 years,19206
524.0$ at 19.3% for 11 years,3650
28083.0$ at 6.7% for 6 years,41440
2248.0$ at 8.5% for 7 years,3979
37188.0$ at 12.7% for 7 years,85875
1559277.0$ at 30.4% for 6 years,7666353
19449.0$ at 17.2% for 6 years,50403
489.0$ at 7.7% for 2 years,567
556.0$ at 14.6% for 3 years,836
92141.0$ at 7.3% for 3 years,113828
96727.0$ at 6.6% for 2 years,109916
55742.0$ at 18.9% for 2 years,78803
66466.0$ at 4.4% for 7 years,89846
74848.0$ at 41.6% for 1 years,105984
497.0$ at 4.5% for 3 years,567
214.0$ at 14.1% for 7 years,538
524.0$ at 12.1% for 10 years,1642
497.0$ at 3.1% for 11 years,695
31317.0$ at 27.2% for 8 years,214623
45224.0$ at 10.3% for 6 years,81437
61121.0$ at 3.3% for 7 years,76717
6709101.0$ at 19.5% for 11 years,47611436
849.0$ at 14.2% for 5 years,1649
93856.0$ at 6.4% for 6 years,136179
13418.0$ at 7.6% for 7 years,22406
93448.0$ at 5.6% for 1 years,98681
51781.0$ at 36.5% for 11 years,1587192
40994.0$ at 24.0% for 4 years,96918
82381.0$ at 48.1% for 10 years,4181938
9483.0$ at 19.8% for 1 years,11360
6770822.0$ at 16.7% for 5 years,14655332
1885.0$ at 31.0% for 11 years,36753
49582.0$ at 17.5% for 3 years,80433
1932500.0$ at 2.2% for 7 years,2250483
9.0$ at 38.7% for 9 years,170
19848.0$ at 4.8% for 6 years,26295
49366.0$ at 44.1% for 2 years,102507
443.0$ at 0.3% for 6 years,451
1932500.0$ at 46.3% for 6 years,18948963
435.0$ at 7.2% for 2 years,499
497.0$ at 19.9% for 2 years,714
43501.0$ at 33.7% for 10 years,793986
27138.0$ at 19.8% for 1 years,32511
59091.0$ at 14.7% for 6 years,134555
497.0$ at 2.7% for 2 years,524
521.0$ at 11.9% for 1 years,582
13604.0$ at 14.2% for 6 years,30176
74848.0$ at 13.2% for 6 years,157492
19848.0$ at 7.3% for 9 years,37420
20980.0$ at 26.8% for 9 years,177778
94813.0$ at 44.6% for 11 years,5479224
28083.0$ at 4.2% for 4 years,33106
93889.0$ at 15.5% for 3 years,144664
64598.0$ at 19.2% for 8 years,263286
93889.0$ at 12.0% for 1 years,105155
61300.0$ at 0.2% for 8 years,62287
78173.0$ at 5.8% for 1 years,82707
20375.0$ at 0.9% for 6 years,21500
54771.0$ at 23.4% for 11 years,553372
92141.0$ at 10.3% for 9 years,222655
47414.0$ at 4.5% for 4 years,56542
86866.0$ at 16.3% for 10 years,393230
70.0$ at 1.8% for 8 years,80
6596.0$ at 44.8% for 11 years,387021
93.0$ at 18.4% for 7 years,303
88708.0$ at 3.0% for 1 years,91369
63759.0$ at 18.6% for 1 years,75618
64918.0$ at 18.3% for 2 years,90852
93520.0$ at 6.1% for 4 years,118513
40994.0$ at 17.7% for 3 years,66842
4382943.0$ at 44.0% for 2 years,9088470
78173.0$ at 9.8% for 2 years,94245
7662433.0$ at 0.7% for 7 years,8045869
50420.0$ at 2.8% for 4 years,56308
32981.0$ at 6.5% for 11 years,65934
28.0$ at 42.9% for 8 years,486
2248.0$ at 16.9% for 9 years,9164
83973.0$ at 23.0% for 2 years,127042
63809.0$ at 15.8% for 6 years,153862
88708.0$ at 14.7% for 10 years,349620
716.0$ at 30.0% for 4 years,2044
96727.0$ at 5.6% for 2 years,107863
48715.0$ at 1.8% for 9 years,57199
64918.0$ at 3.8% for 11 years,97844
61300.0$ at 16.5% for 11 years,328886
31317.0$ at 13.9% for 11 years,131081
1932500.0$ at 10.6% for 3 years,2614477
23163.0$ at 35.4% for 4 years,77851
7332295.0$ at 43.8% for 8 years,134063643
2569687.0$ at 45.9% for 6 years,24786315
1932500.0$ at 4.3% for 1 years,2015597
20980.0$ at 22.6% for 11 years,197333
49366.0$ at 7.6% for 4 years,66172
23163.0$ at 15.6% for 11 years,114111
74848.0$ at 18.9% for 4 years,149591
60824.0$ at 1.5% for 2 years,62662
73690.0$ at 8.5% for 4 years,102123
556.0$ at 9.7% for 9 years,1279
10309.0$ at 7.0% for 11 years,21698
6596.0$ at 1.6% for 9 years,7608
65505.0$ at 15.2% for 11 years,310635
43501.0$ at 44.6% for 10 years,1738529
937.0$ at 33.1% for 1 years,1247
80.0$ at 3.8% for 8 years,107
58408.0$ at 19.2% for 8 years,238057
